evcal_lang_1,enero
evcal_lang_2,febrero
evcal_lang_3,marzo
evcal_lang_4,abril
evcal_lang_5,mayo
evcal_lang_6,Junio
evcal_lang_7,julio
evcal_lang_8,agosto
evcal_lang_9,septiembre
evcal_lang_10,octubre
evcal_lang_11,noviembre
evcal_lang_12,diciembre
evo_lang_3Lm_1,ene
evo_lang_3Lm_2,
evo_lang_3Lm_3,
evo_lang_3Lm_4,abr
evo_lang_3Lm_5,
evo_lang_3Lm_6,
evo_lang_3Lm_7,
evo_lang_3Lm_8,ago
evo_lang_3Lm_9,
evo_lang_3Lm_10,
evo_lang_3Lm_11,
evo_lang_3Lm_12,dic
evo_lang_1Lm_1,e
evo_lang_1Lm_2,
evo_lang_1Lm_3,
evo_lang_1Lm_4,
evo_lang_1Lm_5,
evo_lang_1Lm_6,
evo_lang_1Lm_7,
evo_lang_1Lm_8,
evo_lang_1Lm_9,
evo_lang_1Lm_10,
evo_lang_1Lm_11,
evo_lang_1Lm_12,
evcal_lang_day1,lunes
evcal_lang_day2,martes
evcal_lang_day3,miércoles
evcal_lang_day4,jueves
evcal_lang_day5,viernes
evcal_lang_day6,sábado
evcal_lang_day7,domingo
evo_lang_3Ld_1,lun
evo_lang_3Ld_2,mar
evo_lang_3Ld_3,mie
evo_lang_3Ld_4,jue
evo_lang_3Ld_5,vie
evo_lang_3Ld_6,sab
evo_lang_3Ld_7,dom
evo_lang_am,
evo_lang_pm,
evcal_lang_noeve,Sin Eventos 
no-events-on-the-list-at-this-time,
evcal_lang_allday,Todo el Dia
evcal_lang_yrrnd,
evcal_lang_mntlng,
evcal_lang_events,Eventos
event,Evento
evcal_lang_sme,Ver más eventos
evcal_evcard_evcancel,Evento Cancelado 
featured,Destacado
evo_lang_eventtags,
evo_lang_yes,
evo_lang_no,
evo_lang_more,Más 
evoSR_001,Buscar Eventos
evoSR_001a,Buscar Eventos en el Calendario
evoSR_002,Buscando
evoSR_003,
evoSR_004,
download-all-events-as-ics-file,
evcal_lang_et1,
evolang_event_type_85,Escuela Normal Juan Pascual Pringles
evolang_event_type_79,Facultad de Ciencias de la Salud
evolang_event_type_80,Facultad de Ciencias Económicas, Jurídicas y Sociales
evolang_event_type_77,Facultad de Ciencias Físico, Matemáticas y Naturales
evolang_event_type_78,Facultad de Ciencias Humanas
evolang_event_type_81,Facultad de Ingeniería y Ciencias Agropecuarias
evolang_event_type_83,Facultad de Psicología
evolang_event_type_82,Facultad de Química, Bioquímica y Farmacia
evolang_event_type_84,Facultad de Urbanismo y Turismo
evcal_lang_et2,
evolang_event_type_2_66,ACADÉMICA
evolang_event_type_2_72,Acreditación e Información Institucional
evolang_event_type_2_68,ASUNTOS ESTUDIANTILES
evolang_event_type_2_69,CIENCIA Y TECNOLOGÍA
evolang_event_type_2_71,Comunicación Institucional
evolang_event_type_2_70,Coordinación y Planificación Institucional
evolang_event_type_2_64,EXTENSIÓN
evolang_event_type_2_65,GENERAL
evolang_event_type_2_67,HACIENDA Y ADMINISTRACIÓN
